,author,comment,voteCount,replyCount,channel,country
29,@d04me,bac employee stupid un appoints iranian chair human right whilst iran supplying miss terrorist middle east give air time un tunnel builder defended still wont call hamas terrorist shame,0,0,BBC News,England
30,@devildevil2271,poodle wag tail telabeef,0,0,BBC News,England
31,@yelenam.636,long hamas keep gaza inhabitant hostage dont arabian country make hamas leader live country order hamas terrorist current soon hamas terrorist taken court izrailian military free move home hamas,0,0,BBC News,England
32,@trechter222,shame shame u still lie,1,0,BBC News,England
33,@user-qx5bt4dz4g,hate skeptical annoyed undecided uneasy hesitant,0,0,BBC News,England
34,@user-tf4ff7oh7z,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 53 MINUTES 39 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
35,@PriceTAG123,un supporter hamas quite surprise condemning october terrorist attack,0,1,BBC News,England
36,@user-ly9zb7fj9q,,2,0,BBC News,England
37,@user-ly9zb7fj9q,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 53 MINUTES 32 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,2,0,BBC News,England
38,@alexmathewson3207,see consent manufactured real time murder child truly gross,0,0,BBC News,England
39,@trechter222,international law israel occupying force right use military force selfdefense occupied territory,1,0,BBC News,England
40,@trechter222,condemning occupier year,0,0,BBC News,England
41,@trechter222,live rock apartheidsregime israeli control everything normal people dont get aid normal people right dont educate thing work checkpoint lot video youtube made israeli en eu people showing u idf mistreating palestinian lot report showing u idf sexual abusing palestinian child open eye,0,0,BBC News,England
42,@_olivebranch_,shame humanity leader anything thousand defenseless civilian massacred especially fact usa stand israel provides kind support allow ceasefire,10,1,BBC News,England
43,@akhlakuddin3567,thanks good honesty news please true story broadcast time serial thanks uk,0,0,BBC News,England
44,@Amer.Rai.,resolution one step forward towards ceasefire withdraw israel gaza,0,0,BBC News,England
45,@SaadImarattarteebTheFormula,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 53 MINUTES 18 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,1,0,BBC News,England
46,@TrutieReal,true face u toward palestine complicit genocideand playing double standard policy,0,0,BBC News,England
47,@VerlitoAblin,un resolution fell short addressing humanitarian flight abducted israel last october reconsidered pow since use prisoner exchange,1,0,BBC News,England
48,@nawaazlallmahomed3969,one greatest human being century,0,1,BBC News,England
49,@Smananonym,since justice dirty politics planet brought forth higher power impossible justice prevail,0,0,BBC News,England
50,@trahz06,israel right defend child international law hospital bakery un worker refugee camp christian woman israeli soldier,2,0,BBC News,England
51,@SR-np1od,israel usa terrorist zionist terrorist america mother terrorist,1,0,BBC News,England
52,@abdi-azisabdirahman4787,talking hostage killed civilian injured double justice,1,0,BBC News,England
53,@ssaeed5778,double standard usa uk cry ukraine usa ik approved bombing palestine un rosliston send food weapon israel range weapon hypocrisy,1,0,BBC News,England
54,@Buurmadow,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 53 MINUTES 06 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
55,@monicatry1583,useless un mother worldwide run un peacekeeper love child,0,0,BBC News,England
56,@andrewsalmon100,sick stop reporting awful awful people,0,0,BBC News,England
57,@vijaymujumdar5617,message secretary general un staff affiliate like una nice etc actively collaborated hamas brought terrible tragedy israeli,1,0,BBC News,England
58,@florreal4891,took man day many many long night world worry suffering hour n't paid often per year work night joke politician failed policy caused,0,0,BBC News,England
59,@moshdeezzlee4721,shame,0,0,BBC News,England
60,@alfredmisquita787,year un giving palestine aid never reached un never monitored hamas leader millionaire,0,0,BBC News,England
61,@sunnydaze-ij2jf,would uber eats delivery would decline,0,0,BBC News,England
62,@gopinathkumar,enough already please stop talking,0,0,BBC News,England
63,@back2ufloyd61,allow ceasefire ceasefire side cease firing,0,0,BBC News,England
64,@user-nq7ie8od4f,resolution month negotiation resolution hold much humanity poor palestinian history remember israel zionist murdering palestinian,0,0,BBC News,England
65,@buddadavid480,free gaza,0,0,BBC News,England
66,@troytroyland746,guerre must resign hamas terrorist bias un secretary general israel,0,0,BBC News,England
67,@CentreoftheEarth,un called selected nation unite others dont meet interest,5,1,BBC News,England
68,@veryvanilla-fn3ut,good uk foreign secretary n't cry holocaust relative therefore remains fair,0,0,BBC News,England
69,@deannaartzbennett244,colonialism occupation systemic oppression act war utilizes terrorism authoritarianism achieve wealth resource power capture others cost including genocide project offense humanity inception never religion antisemitism defense usurper political power broker global business moral much answer,0,0,BBC News,England
70,@ANIMALS_AND_MORE_moments,criminal dictate rule hamas let population suffer die get brutally ideology truth seems disturb airconditioned life un staff n't even go though delegate head gaza refugee issue discussed un let civilian gaza would weaken hamas position un say nothing tool hamas,0,0,BBC News,England
71,@user-nk6xo2kf3r,please stop war want world peace,0,0,BBC News,England
72,@sudhakarbadiger6251,usa humanity peace un five permanent member un useless country two state solution solution create peace palestine israel nothing else,0,0,BBC News,England
73,@muradshiekh4363,remember superpower could hold forever time change hope western medium would help humanity time like today,0,0,BBC News,England
74,@THEOneAndOnlyDOCTORofHUMANICS,shame everyones lack humanity still professormarty,0,0,BBC News,England
75,@TanveerAhmad-ip4ql,united nation organization united nation security council organization fabricated protect wealth inhuman activity nonmuslim country world humanity nonmuslim county danger back support fight country danger muslim become helper nonmuslim country muslim country short defender protector nonmuslim country muslim country,0,0,BBC News,England
76,@abhijitroy3698,useless resolution without ceasefire aid effectively reach hapless citizen gaza,1,0,BBC News,England
77,@TanveerAhmad-ip4ql,thousand people killed gaza far humanity religious soul humanity consider massacred dead body family member brother sister child condition time human being animal think,0,0,BBC News,England
78,@Harry-mc3gv,bac refused call hamas terrorist wiping comment critical hamas therefore unsurprising,1,0,BBC News,England
79,@Broskisnowski,maybe country start barring trade small hat occupation like yemen,0,0,BBC News,England
80,@myounas8981,illegal occupation rootcause problem,1,0,BBC News,England
81,@nayeemhussain9515,un security council bullshit,0,0,BBC News,England
82,@nayeemhussain9515,un work scoundrel oppressor,0,0,BBC News,England
83,@abubakers.m9903,un mouth red heart,0,0,BBC News,England
84,@FreedomForAll1-,sound like zionist support gentle imagine problem human right group un humane people world think problem,0,0,BBC News,England
85,@AlexDrastico380,idf troll galore,0,0,BBC News,England
86,@user-fy6lt5ch8o,democracy britain britain tyranny united kingdom passing israeli killing civilian gaza strip,0,0,BBC News,England
87,@mahmudurrahman7004,resolution eyewash absolve u crime complicity genocide people palestine,0,0,BBC News,England
88,@giacomogiacomo1194,israel take easy hamas hamas thought october,0,0,BBC News,England
89,@jamesbbengo3306,security council longer credible world going anywhere resolution another joke seem understand ground let watch see,0,0,BBC News,England
90,@soniap9612,gall woman keep yapping still abstaining seriously,0,0,BBC News,England
91,@alRuh-005,idf freaking kill woman child bomb droped fighter jet ground whole different thing knew fighting think called ghost run,0,0,BBC News,England
92,@knifetoucher,un know gaza breading ground terrorist thats dont want ceasefire,1,0,BBC News,England
93,@norhamimahmdisa4480,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 51 MINUTES 47 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
94,@cyrus5416,un want embarrass u demanding ceasefire ceasefire pass show u first veto mistake u u important human life,0,0,BBC News,England
95,@ejeikwutheophilus7854,essence aid hostility halted leader un member country withdraw country membership un disgrace big disgrace,13,0,BBC News,England
96,@tuffytoys9707,useless resolution shameful u rep want include statement hamas dont even acknowledge massive amount israeli war crime dead child shameful united state,1,0,BBC News,England
97,@aklim4,israel terrorist state need stop genocide occupation,0,0,BBC News,England
98,@aklim4,gas greed important human life,0,1,BBC News,England
99,@amulejohn,united nation joke play people life debate change,0,0,BBC News,England
100,@Sickeningtheat,u always us black brown person situation like look guy decision made people color old white rich men running show behind see back obama cabinet rabid list sat beside un representative throughout iraq war much wan na bet unit sitting behind nudging united state israel,0,0,BBC News,England
101,@idavaughn3512,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 51 MINUTES 37 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
102,@ruyaal,shame u ran kingpin plus egypt allowing futile vote meaning use better let u veto show isolation,0,0,BBC News,England
103,@creativet4915,netanyahu idf widen blinked support israeli zionist fake jew committed genocide palestinian people war criminal terrorist,0,0,BBC News,England
104,@jimmyng3853,loser u uk pretended winner dumb believe,0,0,BBC News,England
105,@oioi8745f,river sea sea gas reserve,0,0,BBC News,England
106,@jozef2630,love u hear el sameera always balance,5,0,BBC News,England
107,@JohnFelinn,shocking ga west bank jerusalem internationally recognized occupied territory since ie year world done nothing help lift injustice however moment groan push back injustice whole world suddenly recognized united red heart source international law un resolution,12,3,BBC News,England
108,@sheilamattimoeriedy1670,good un lot wonderful social justice program power armed conflict genocide failed mission lot spent,0,0,BBC News,England
109,@jamespd3184,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 51 MINUTES 24 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
110,@rrobin5688,war criminal israel need stopped,0,0,BBC News,England
111,@user-tf4ff7oh7z,un support russia invasion,0,0,BBC News,England
112,@alsamp1982,people want war peace,0,0,BBC News,England
113,@SCPSite-19-hm9zt,still keeping eye war,2,0,BBC News,England
114,@joaodesousa5870,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 51 MINUTES 19 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,2,1,BBC News,England
115,@Q1074M,hamas planned war people gaza went israeli rape slaughter kidnap innocent people make sure israel would come fight gaza planned year one plan keep woman child gaza safe suffering death destruction gaza exactly hamas want propaganda feast want gaza destroyed dont want gaza want israel happy step head dead child gaza get want true genius hamas commit crime broad daylight many turn blind eye evil pretending something,0,0,BBC News,England
116,@adamlasry5225,israeli propaganda one objective perpetuate brutal israeli military occupation israel using lie propaganda decade continue stealing land getting rid palestinian via legal illegal killing method people unfortunately gullible forget israel occupying force culprit victim occupied people gaza west bank longest occupation history palestinian deserve homeland,0,0,BBC News,England
117,@k9k9k9er6,im getting ala flood aint goin well,0,0,BBC News,England
118,@IrishTradCatholic,time un dissolved intervening genocide scrap bac til far pro israel majority world population definitely proisrael,0,0,BBC News,England
119,@lesliechan68,un try resolution ask hamas surrender return hostage immediately,1,2,BBC News,England
120,@destrohades2094,absolutely disgusted u done defend israeli ship palestinian child,0,0,BBC News,England
121,@piccadilly171,u ambassador embarrassed even open mouth people arent stupid everyone know resolution allow u save face even considering ceasefire forced u veto would propelled un deal u international criminal court,8,1,BBC News,England
122,@johnbridges6867,huh total hypocrisy un street protest uk county point finger shout demand ceasefire yes civilian suffer allover israel palestine evil hamas started loss precious life pointed finger heavily protested evil terrorist putin terrorist military still job shalom,0,0,BBC News,England
123,@user-cu9pi4sf4c,would allah look high say support hamas dont see would possible,0,0,BBC News,England
124,@Melody2004.,woman killed something worth emphasizing implying woman life important man,0,1,BBC News,England
125,@ashleywiedemann1005,britain go allen amid putin confession russia would take back odessa nikolai,0,0,BBC News,England
126,@akpansaviour4637,political world view death woman child something disturbing people angered death woman enemy hand man soldier fight kinda serf reminder one fighting war front protect family love one,0,0,BBC News,England
127,@normalbehaviour476,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 51 MINUTES 05 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
128,@suzanneburton8736,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 51 MINUTES 03 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
129,@user-tx2ly5iv8n,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 51 MINUTES 00 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
130,@flotinaway7,thanks,0,0,BBC News,England
131,@youreyes24,dont forget israel illegally occupied west bank palestine gaza read actually main reason there peace palestine also arab country west puppet middle east play main role create conflict middle east also around world u western country main history built war,0,0,BBC News,England
132,@marina12345678911000,happened nazi germany started war lost leading territorial loss similarly arab country initiated war israel resulting defeat territorial loss,2,0,BBC News,England
133,@lesliechan68,check history gaza given back groan hamas took power never occupied hamas continue attack israel please check part sat gaza occupied,3,0,BBC News,England
134,@HOUSEOFGOD.,world wont free ukraine free,0,0,BBC News,England
135,@bigstones5710,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 50 MINUTES 53 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
136,@mourning3301,right need permanent ceasefire un delivers aid israel enjoys starving genocide palestinian self governance,0,0,BBC News,England
137,@registeredmental,incumbent every muslim lie non muslim especially dar al hard muslim moan death dar al islam taqiyya israel lose war would see real genocide apartheid shimmy,0,0,BBC News,England
138,@sukukhunter3999,action talk,0,0,BBC News,England
139,@MrHammerkop,whether like israeli surrender die ultimatum delivered delivered every warning issued since october look godawful mess square behold hamas pleading complete cessation war engineered oneday glorious victory october knee humiliated begging behind body pile human shield woman child illjudged gamble left one card hand play hostage kidnapped massacre israeli citizen iran come aid hezbollah come aid egypt refused take refugee people good sound reason around world concern hamas palestinian terrorist dragged spectacular failure would morally repulsive put money outcome war know mean,0,0,BBC News,England
140,@september9646,u kicked un,0,0,BBC News,England
141,@umarkhan-oc8ux,usa responsible suffering palestinian,0,0,BBC News,England
142,@4thegood,u ambassador mouth piece showcasing diversity handler watch menacingly shoulder even pushed hand correct vote prof puppet master ear piece,0,0,BBC News,England
143,@Kohen124,operation stop hamas completely defeated,2,0,BBC News,England
144,@wendyjones363,security council finally understood ceasefire counterproductive would simply allow hamas regroup carry attack,3,1,BBC News,England
145,@user-gj6mw5qm2r,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 50 MINUTES 40 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
146,@nodrama7264,america cant even look country america involved joke,0,0,BBC News,England
147,@jaksanape,im disgusted u uk taking sort victory lap,39,8,BBC News,England
148,@nodrama7264,religion ban religion,0,1,BBC News,England
149,@andrewwalsh2755,look like tide gone u uk guess uk decency embarrassed supporting ceasefire gaza u world opinion support palestine pier starter audacity say parliament uk united support israel there touch there political corruption gone far widen meet u zionist mega donor tell buying propaganda anymore guy war crime genocide cant defend indefensible say pier starter even try,0,0,BBC News,England
150,@ShakilKhan-zf1fh,fall jewish elite hijacked usa world order doorstep population native american woken,0,0,BBC News,England
151,@jasonhutchinson8060,dont worry folk geriatric prick widen zero chance reelection u even within party lost anyone genocide joe gonzo,0,0,BBC News,England
152,@user-ey6rc1uo3i,imagine walking along street see someone savagely beaten dont try stop happening instead stand watch justify saying youll provide first aid beating ended international community like gaza meanwhile israel know carry leave others deal consequence,9,2,BBC News,England
153,@syedaljufrisyedali3633,need stop,2,0,BBC News,England
154,@parevashmoosavi2363,used believe un power say,0,0,BBC News,England
155,@soniap9612,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 50 MINUTES 31 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
156,@Sa.r.a.h,religion land resource preservation apartheid colonial power remember white also said right colonise enslave africa superior race superior religion called christianity religion race always used justify greed,0,0,BBC News,England
157,@back2ufloyd61,victory lap,0,0,BBC News,England
158,@ahmadalastal5303,since freedom fighter terrorist slick real terrorist israel u uk period whenever u put big fat nose something corrupt directly see iraq afghanistan vietnam syria libya saudi arabia jordan gaza,0,0,BBC News,England
159,@playwithharis348,call normal behaviour like psychopath behaviour,0,0,BBC News,England
160,@user-John666,there one group people backing terror hamas supporter,0,0,BBC News,England
161,@user-st2gl8pg9r,require moral compass making killing child woman worrying health genocidal maniac,0,0,BBC News,England
162,@markcynic808,im disgusted usa uk n't veto ridiculous resolution un backer terror,2,0,BBC News,England
163,@Man_fay_the_Bru,n't brilliantly eye,5,0,BBC News,England
164,@normalbehaviour476,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 50 MINUTES 22 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,5,0,BBC News,England
165,@stefanbodlen8707,,0,0,BBC News,England
166,@Sang700,un gaza israel today tomorrow sedan mandar somalian congo,3,1,BBC News,England
167,@zubversivezigotto9731,shameful aid management un wasted time blaming everyone incapacity deliver thing heart mission useless organisation,0,0,BBC News,England
168,@TOM-rq7vd,u disgrace humanity blocking ceasefire hollow word count nothing,0,0,BBC News,England
169,@NoWindNoSunNoPower,un spoken hamas,2,1,BBC News,England
170,@yusifr1,free palestine oppressor,0,0,BBC News,England
171,@thex-files2468,israel real terrorist u supporting,0,0,BBC News,England
172,@chenosee2422,resign job suitable knew slave gone throug hard ship forgot see job uno u arab listen master say,0,1,BBC News,England
173,@thex-files2468,feel really bad poor palestinian civilian dont right couldnt defend,57,33,BBC News,England
174,@marina12345678911000,truck humanitarian aid sudanese people rape murder kidnap hold hostage even celebrate massacre october street participate beating hostage kidnapped street gaza,3,3,BBC News,England
175,@thex-files2468,hey linda black life matter palestinian life matter stop supporting israel real terrorist,0,0,BBC News,England
176,@nazarma7005,possible supply humanitarian aid cease fire,41,12,BBC News,England
177,@user-vb7fb1er5t,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 50 MINUTES 09 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
178,@ekosaptajie1940,u government always big obstacle creation peace double standard hypocritical arrogance un reform must carried immediately create global politics accommodating security human safety better world,0,0,BBC News,England
179,@devildevil2271,world know puppet un,0,0,BBC News,England
180,@badihammad3669,zionist nazism know else died gaza myth western humanity,0,0,BBC News,England
181,@sahraluujiyano6,justice world,9,0,BBC News,England
182,@pilargonzalez8442,still ceasefire unacceptable stop insanity hold israel accountable free palestine israeli killing shame america,1,0,BBC News,England
183,@adrianagomes2964,israel committing slaughter gaza un tried pas ceasefire since beginning massacre u veto hope relieve come really believe israel want wipe palestine,0,0,BBC News,England
184,@IsmailVania-tj4zl,totally double standard quick attack saddam hussein bullshit lie slaughtering innocent child thousand turning blind eye shame world puppet leader free palestine,0,0,BBC News,England
185,@h_uddin1427,taking nice today could something,2,0,BBC News,England
186,@Broskisnowski,like israel want hostage back without ceasefire make mistake lao,0,0,BBC News,England
187,@Man_fay_the_Bru,go help sand boy,0,0,BBC News,England
188,@Man_fay_the_Bru,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 49 MINUTES 58 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
189,@stefanbodlen8707,impossible next step ceasefire,0,0,BBC News,England
190,@Hsn.A,speak without experience,3,0,BBC News,England
191,@mfundomkhonta7500,lgwfonu ask ceasefire,0,0,BBC News,England
192,@aliashfaque1746,lao knew would get ton bot dont tell idf stop oppression dont want terrorist form wanted hostage soo much wouldnt carpet bombed like right hoping hostage die find another excuse invade commit genocide sentiment played long hostage ad,0,0,BBC News,England
193,@user-lg8wf4on3u,would surrender genocide apartheid colonialism,4,0,BBC News,England
194,@giacomogiacomo1194,ask hamas first dont surrender people safe get aid,5,0,BBC News,England
195,@user-ip4py1oo7o,want put two together n't look good,0,0,BBC News,England
196,@back2ufloyd61,happens time n't conflict un dealt,0,0,BBC News,England
197,@riderkick7700,lgwfonu always said thing israel withdrew gaza long ago hamas one always brought war people attacking israel failed defend people israel problem west bank jerusalem cause statement anything hamas gaza israel n't bother get billion aiding cant afford make gaza good prove bad government hamas stop blaming anyone else look back false,0,0,BBC News,England
198,@marina12345678911000,txlyivn yep war sedan started month ago several million forced flee country many thousand killed forgotten war left medium peace activist demand peaceceasefirehumanitarian aid sudanese people street san francisco london ny wonder,0,0,BBC News,England
199,@user-tx2ly5iv8n,MYMEMORY WARNING : YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY . NEXT AVAILABLE IN 09 HOURS 49 MINUTES 42 SECONDS VISIT HTTPS : //MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,0,0,BBC News,England
